Season,Episode No.,Episode No. (Overall),Title,Airdate,Rating,Votes,Viewership,Duration,Michael Scott (Steve Carell),About
4,3,54,Launch Party,2007-10-11,8.2,5323,8.91,42,True,"The Dunder Mifflin Infinity website is launching and Michael is excited about going to the big launch party in New York while Angela plans a satellite party for the Scranton branch. Meanwhile, Dwight competes against the website to see who can sell the most paper in one day."
4,4,55,Money,2007-10-18,8.5,5656,8.5,42,True,"As Jan renovates the condo, Michael confronts his growing debt every way he can, which includes pressuring his employees for a loan. Pam and Jim spend a night out on Dwight's family beet farm, now a bed and breakfast."
4,5,56,Local Ad,2007-10-25,8.6,5813,8.98,22,True,"Michael tries to make a local Dunder Mifflin commercial that is better than the one the professional ad agency made for them. Meanwhile, Andy tries to confide in Dwight about his new relationship with Angela."
4,6,57,Branch Wars,2007-11-01,8.3,5403,8.39,30,True,"Michael and Dwight try to play a prank on Karen, who is now manager of the Utica branch, after she tries to steal Stanley from the Scranton office. Meanwhile, Pam, Toby, and Oscar start their own exclusive office book club."
4,7,58,Survivor Man,2007-11-08,8.0,5226,8.29,30,True,"After Michael isn't invited to a camping trip with Ryan, he sets out to prove that he can brave it out in the wilderness by himself. Jim, who is in charge of the office while Michael is gone, tries to change the birthday party policy."
4,8,59,The Deposition,2007-11-15,8.6,5550,8.86,30,True,"Michael is put in an awkward position when Jan sues Dunder Mifflin for wrongful termination and he is deposed as a witness. Meanwhile, Kelly begins smack-talking Pam after Darryl beats Jim at Ping-Pong."
4,9,60,Dinner Party,2008-04-10,9.4,10867,9.22,30,True,"Michael invites Jim and Pam and Andy and Angela to a couples-only dinner party, which makes Dwight very jealous. However, the only thing he's missing is a ringside seat to witness Michael and Jan's extremely dysfunctional home life."
4,10,61,Chair Model,2008-04-17,7.8,5130,9.81,30,True,"Kevin and Andy team up to reclaim the stolen Dunder Mifflin parking spaces, which forces them into a showdown with the other four bosses of the office park. Meanwhile, Michael becomes fascinated by a woman modeling chairs in a catalog."
4,11,62,Night Out,2008-04-24,8.5,5361,7.56,21,True,"Michael and Dwight go to New York to party with Ryan, who is having lots of personal and professional problems. The rest of the office employees work late, and wind up getting locked in the business park."
4,12,63,Did I Stutter?,2008-05-01,8.1,5121,7.67,22,True,"Michael tries to figure out how to respond to Stanley's insubordination during a meeting, and Dwight buys Andy's vehicle and immediately flips it for more money."
4,13,64,Job Fair,2008-05-08,7.6,4922,7.22,30,True,"Dunder Mifflin participates in a high school job fair, but few students are interested. Jim, Andy, and Kevin play a round of golf with a prospective client. Back at the office, everyone but Dwight and Angela leave for the day."
4,14,65,"Goodbye, Toby",2008-05-15,9.2,7255,8.07,42,True,"Michael throws an extravagant going-away party for Toby, and falls in love with the woman who is replacing him. Jim plans to propose to Pam at the party, but gets out-staged. Back at corporate, Ryan is arrested for fraud."
5,1,66,Weight Loss,2008-09-25,8.7,5941,9.2,43,True,"Michael tries to motivate the Scranton branch to lose weight as part of an interoffice competition. Jim is lost after Pam leaves for art school in New York, and Angela continues to see Dwight even though she is now engaged to Andy."
5,2,67,Business Ethics,2008-10-09,8.1,4957,8.99,22,True,A confession at an H.R. business ethics seminar leads to a dispute between Michael and Holly over whether Meredith should be fired. Dwight tries to prove to Jim how long he can go without taking a personal break.
5,3,68,Baby Shower,2008-10-16,7.8,4963,8.07,22,True,"After planning an office baby shower for Jan, Michael is upset when he finds out that she had the baby without him--even though he's already been told that he's not the baby's father."
5,4,69,Crime Aid,2008-10-23,7.9,4773,7.74,30,True,"Michael and Holly have sex for the first time, and Michael holds a fundraiser for the office after it is burglarized. Dwight confides in Phyllis after Andy and Angela set a wedding date, and Jim runs into Pam's ex-fiancé, Roy."
5,5,70,Employee Transfer,2008-10-30,7.9,4885,9.32,22,True,Holly is transferred back to New Hampshire after corporate discovers that she and Michael are dating. Dwight tries to apply to Cornell to get under Andy's skin. Jim's brothers and Pam decide to play a trick on Jim when they meet for lunch.
5,6,71,Customer Survey,2008-11-06,8.4,5104,8.35,22,True,"Dwight and Jim believe that something is suspicious about their low customer performance ratings. After consulting with Angela, Andy finds the perfect site for their wedding--Dwight's beet farm."
5,7,72,Business Trip,2008-11-13,8.0,4788,8.18,30,True,"David Wallace sends Michael on a business trip to Winnipeg to help him forget about Holly's transfer to Nashua, and Pam tells Jim that she failed a class and has to stay in New York City."
5,8,73,Frame Toby,2008-11-20,8.5,5327,8.4,30,True,"When Michael discovers that corporate has brought back Toby to replace Holly, he tries to frame him with drugs and to get him fired. Meanwhile, Pam has issues with the disgusting microwave. Finally, Jim surprises Pam by buying his parents' house."
5,9,74,The Surplus,2008-12-04,8.6,5236,8.33,22,True,"Michael has to spend the office surplus by they end of the day, but he can't decide between a copier or new chairs. Dwight plays a dirty trick on Angela as they prepare for Andy and Angela's wedding on the beet farm."
5,10,75,Moroccan Christmas,2008-12-11,8.2,4933,8.79,30,True,"Phyllis blackmails Angela into doing the work for the Christmas party, which Michael turns into an intervention after Meredith gets drunk and sets her hair on fire. Meanwhile, Dwight corners the market on a popular Christmas gift."
5,11,76,The Duel,2009-01-15,8.6,5126,8.5,30,True,"Moments before he leaves for New York for a meeting with David Wallace, Michael tells Andy that Angela and Dwight are seeing each other. Andy and Dwight then decide to have it out in the parking lot."
5,12,77,Prince Family Paper,2009-01-22,7.8,4939,8.74,22,True,"Michael's conscience gets the best of him after he and Dwight go undercover to scout a family-run competitor. Back at the office, everyone else spends the day debating whether Hilary Swank is hot."
5,13,78,Stress Relief,2009-02-01,9.7,15291,22.91,60,True,"Dwight's too-realistic fire alarm gives Stanley a heart attack. When he returns, Michael learns that he is the cause of Stanley's stress. To remedy the situation, he forces the office to throw a roast for him."
5,14,79,Lecture Circuit: Part 1,2009-02-05,8.0,4789,8.39,30,True,"While on lecture tour to other Dunder Mifflin branches, Michael and Pam discover that Jim's ex-girlfriend Karen is pregnant. At the office, Andy falls for a prospective client, and Jim and Dwight try to set up Kelly's birthday party."
